Location,County,AVG L/E 1980,Male L/E 1980,Female L/E 1980,AVG L/E 1985,Male L/A 1985,Female L/E 1985,AVG L/E 1990,Male L/E 1990,Female L/E 1990,AVG L/E 1995,Male  L/E 1995,Female L/E 1995,AVG L/E 2000,Male L/E 2000,Female L/E 2000,AVG L/E 2005,Male L/E 2005,Female L/E 2005,AVG L/E 2010,Male L/E 2010,Female L/E 2010,AVG L/E 2014,Male L/E 2014,Female L/E 2014,AVG L/E Change Over Time,Male L/E Change Over Time,Female L/E Change over Time
United States,All counties,73.75,73.73,73.77,74.72,74.71,74.74,75.39,75.38,75.41,75.86,75.85,75.88,76.94,76.92,76.95,77.65,77.61,77.68,78.82,78.81,78.84,79.08,79.04,79.11,7.22,7.16,7.27
Alabama,All counties,72.29,72.21,72.37,73.1,73.02,73.19,73.5,73.42,73.57,73.78,73.7,73.85,74.46,74.39,74.53,74.71,74.62,74.79,75.58,75.51,75.65,75.65,75.57,75.72,4.65,4.48,4.82
Alabama,Autauga,71.99,71.33,72.63,72.7,72.1,73.32,73.1,72.54,73.66,73.69,73.22,74.2,74.55,74.1,75.04,74.71,74.23,75.2,75.74,75.25,76.25,75.67,75.15,76.18,5.1,3.86,6.43
Alabama,Baldwin,74.07,73.6,74.58,74.92,74.48,75.37,75.31,74.88,75.71,75.79,75.4,76.2,76.8,76.45,77.17,77.09,76.72,77.47,77.8,77.45,78.14,78.08,77.72,78.43,5.41,4.51,6.26
Alabama,Barbour,71.52,70.79,72.2,72.48,71.92,73.1,72.8,72.23,73.4,73.24,72.69,73.81,74.13,73.59,74.64,74.3,73.69,74.87,75.34,74.72,75.95,75.42,74.78,76.07,5.46,4.1,6.9
Alabama,Bibb,71.61,70.86,72.36,72.17,71.48,72.83,72.61,72.01,73.22,72.62,72.02,73.16,73.56,72.98,74.14,73.38,72.78,73.97,74.13,73.48,74.77,73.97,73.28,74.68,3.29,1.83,4.92
Alabama,Blount,74.01,73.4,74.64,74.5,73.97,75.05,74.7,74.19,75.21,74.8,74.29,75.29,75.62,75.16,76.05,75.71,75.25,76.19,76.41,75.96,76.91,76.16,75.66,76.69,2.91,1.76,4.1
Alabama,Bullock,69.88,69,70.78,70.7,69.91,71.46,71.09,70.37,71.83,71.27,70.59,72.02,72.27,71.56,72.93,72.62,71.85,73.37,73.61,72.8,74.4,73.86,72.92,74.69,5.7,3.62,7.48
Alabama,Butler,71.67,70.97,72.38,72.38,71.75,72.99,72.49,71.87,73.11,72.42,71.84,73.01,73.17,72.6,73.71,72.97,72.34,73.53,73.63,72.96,74.28,73.39,72.68,74.13,2.41,0.88,3.89
Alabama,Calhoun,72.28,71.83,72.76,73.03,72.59,73.47,72.94,72.5,73.39,73.01,72.61,73.45,73.32,72.93,73.71,73.41,73.01,73.83,74.11,73.72,74.51,74.02,73.58,74.43,2.42,1.46,3.34
Alabama,Chambers,72.17,71.59,72.79,72.59,71.99,73.15,72.87,72.37,73.39,72.8,72.28,73.34,73.35,72.84,73.84,73.36,72.84,73.92,74.09,73.54,74.64,74.06,73.48,74.61,2.62,1.41,3.8
Alabama,Cherokee,72.34,71.64,73.06,73.15,72.52,73.8,73.4,72.79,73.99,73.64,73.06,74.22,74.44,73.95,74.98,74.64,74.09,75.2,75.26,74.68,75.84,75.08,74.45,75.72,3.8,2.33,5.25
Alabama,Chilton,72.1,71.49,72.75,72.83,72.27,73.4,73.01,72.45,73.58,73.13,72.59,73.63,73.79,73.33,74.32,73.87,73.35,74.38,74.5,73.97,75.04,74.53,74.02,75.08,3.36,2.18,4.64
Alabama,Choctaw,71.66,70.88,72.44,72.43,71.72,73.12,72.83,72.16,73.46,73.12,72.5,73.77,74.03,73.42,74.63,74.37,73.7,75.01,75.19,74.51,75.92,75.29,74.52,76.03,5.07,3.46,6.67
Alabama,Clarke,71.27,70.59,72.01,72.22,71.57,72.83,72.76,72.17,73.36,73.24,72.67,73.82,74.15,73.62,74.67,74.51,73.97,75.06,75.29,74.73,75.87,75.46,74.78,76.08,5.88,4.39,7.28
Alabama,Clay,72.62,71.82,73.41,73.35,72.68,73.98,73.64,72.96,74.3,73.71,73.06,74.36,74.42,73.8,75,74.5,73.83,75.14,75.25,74.54,75.93,75.06,74.32,75.79,3.36,1.86,5.06
Alabama,Cleburne,72.29,71.55,73.07,72.8,72.11,73.48,73.07,72.43,73.71,73.14,72.55,73.74,73.84,73.31,74.43,73.89,73.27,74.57,74.53,73.83,75.17,74.3,73.62,75.04,2.78,1.31,4.3
Alabama,Coffee,74.11,73.51,74.72,74.67,74.17,75.19,74.89,74.39,75.37,75.01,74.54,75.51,75.55,75.1,76,75.8,75.32,76.26,76.5,76.03,76.99,76.48,75.94,76.98,3.19,1.95,4.35
Alabama,Colbert,73.46,72.88,74.05,73.66,73.16,74.19,73.74,73.22,74.27,73.83,73.35,74.34,74.7,74.27,75.15,74.73,74.27,75.18,75.26,74.77,75.73,75.07,74.57,75.58,2.2,1.13,3.29
Alabama,Conecuh,71.73,70.93,72.54,72.47,71.77,73.2,72.61,71.89,73.28,72.77,72.13,73.44,73.4,72.76,74.02,73.36,72.67,74.08,74.08,73.35,74.82,74.05,73.25,74.88,3.24,1.55,5.07
Alabama,Coosa,72.17,71.32,73.1,72.83,72.09,73.61,73.24,72.53,73.92,73.41,72.74,74.03,74.3,73.66,74.98,74.4,73.71,75.06,75.21,74.49,75.97,75.19,74.36,75.99,4.18,2.54,5.88
Alabama,Covington,72.56,71.91,73.2,73.27,72.71,73.81,73.64,73.13,74.13,73.56,73.07,74.02,74.46,73.94,74.95,74.48,73.98,74.98,75.42,74.93,75.94,75.15,74.59,75.71,3.58,2.41,4.88
Alabama,Crenshaw,71.89,71.06,72.71,72.6,71.88,73.3,72.77,72.07,73.4,73.01,72.42,73.64,73.7,73.12,74.27,73.81,73.16,74.45,74.47,73.81,75.16,74.07,73.33,74.82,3.03,1.46,4.71
Alabama,Cullman,74.01,73.46,74.52,74.49,74,74.93,74.52,74.1,74.97,74.57,74.11,75,74.94,74.5,75.38,74.9,74.47,75.34,75.48,75.07,75.93,75.31,74.86,75.78,1.75,0.85,2.81
Alabama,Dale,73.83,73.24,74.45,74.39,73.86,74.94,74.79,74.3,75.25,74.65,74.13,75.15,75.17,74.7,75.63,75.47,74.99,75.97,76.33,75.84,76.79,76.26,75.79,76.79,3.29,2.17,4.4
Alabama,Dallas,70.77,70.2,71.38,71.35,70.82,71.91,71.45,70.93,71.94,71.3,70.78,71.81,72.07,71.56,72.55,71.81,71.28,72.34,72.48,71.98,73.02,72.39,71.83,72.95,2.29,1.08,3.38
Alabama,DeKalb,73.55,73.03,74.09,73.7,73.21,74.2,74.08,73.62,74.55,74.47,74.01,74.93,74.93,74.5,75.36,74.8,74.35,75.27,75.33,74.86,75.79,75.25,74.77,75.75,2.31,1.3,3.35
Alabama,Elmore,72.63,72.07,73.21,73.29,72.81,73.81,73.74,73.25,74.27,74.05,73.62,74.5,74.94,74.52,75.39,75.33,74.87,75.79,75.95,75.5,76.43,75.93,75.45,76.41,4.55,3.49,5.7
Alabama,Escambia,71.71,71.08,72.34,72.37,71.85,72.89,72.64,72.1,73.15,72.71,72.19,73.25,73.47,72.96,73.99,73.5,73,74.04,74.3,73.76,74.87,74.15,73.59,74.75,3.41,2.16,4.62
Alabama,Etowah,72.42,71.95,72.9,72.83,72.39,73.26,73.03,72.6,73.47,73.16,72.73,73.57,73.47,73.07,73.85,73.32,72.92,73.74,73.86,73.41,74.29,73.85,73.44,74.29,1.98,1.06,2.92
Alabama,Fayette,73.29,72.55,74.05,73.85,73.21,74.52,73.75,73.09,74.36,73.74,73.17,74.33,74.14,73.58,74.66,74.11,73.51,74.72,74.26,73.63,74.93,73.98,73.28,74.71,0.94,-0.52,2.38
Alabama,Franklin,72.37,71.72,73.01,72.93,72.35,73.52,72.86,72.34,73.42,72.86,72.32,73.39,73.36,72.81,73.86,73.25,72.69,73.79,73.57,73,74.13,73.31,72.65,73.88,1.29,0.03,2.55
Alabama,Geneva,72.71,72.08,73.43,73.3,72.72,73.85,73.71,73.15,74.29,73.88,73.39,74.39,74.66,74.14,75.15,74.82,74.27,75.34,75.65,75.08,76.22,75.54,74.94,76.15,3.89,2.45,5.25
Alabama,Greene,70.18,69.25,71.07,71.1,70.33,71.94,71.45,70.67,72.18,71.83,71.1,72.54,72.85,72.16,73.56,73.11,72.34,73.85,74.08,73.25,74.91,74.05,73.2,74.95,5.52,3.63,7.44
Alabama,Hale,71.01,70.23,71.79,71.88,71.19,72.57,72.1,71.46,72.77,72.32,71.69,72.95,72.96,72.35,73.55,73.19,72.5,73.83,73.93,73.29,74.63,74.01,73.27,74.72,4.22,2.63,5.87
Alabama,Henry,71.6,70.81,72.42,72.47,71.75,73.16,73.1,72.44,73.75,73.46,72.88,74.04,74.5,73.89,75.11,74.77,74.17,75.39,75.82,75.13,76.46,75.97,75.29,76.67,6.1,4.45,7.67
Alabama,Houston,73,72.47,73.51,73.96,73.48,74.43,74.82,74.38,75.3,74.8,74.37,75.24,75.5,75.12,75.9,75.84,75.43,76.27,76.7,76.26,77.12,76.81,76.37,77.26,5.22,4.24,6.25
Alabama,Jackson,72.25,71.68,72.79,72.69,72.18,73.22,72.7,72.22,73.19,72.92,72.45,73.41,73.86,73.41,74.3,73.84,73.38,74.32,74.39,73.9,74.86,74.13,73.61,74.63,2.6,1.51,3.74
Alabama,Jefferson,71.46,71.2,71.73,72.31,72.03,72.59,72.77,72.5,73.02,73.25,72.99,73.51,73.96,73.69,74.19,73.98,73.72,74.22,75.11,74.85,75.36,75.34,75.11,75.59,5.43,4.9,5.93
Alabama,Lamar,72.65,71.92,73.45,73.35,72.68,74.02,73.63,72.99,74.24,73.6,73.04,74.22,74.13,73.55,74.68,74.41,73.83,74.99,74.93,74.23,75.57,74.83,74.13,75.53,3,1.44,4.55
Alabama,Lauderdale,74.6,74.12,75.11,75.24,74.77,75.7,75.32,74.9,75.76,75.42,75.02,75.87,75.94,75.57,76.34,76.23,75.81,76.62,76.55,76.14,76.97,76.5,76.06,76.92,2.54,1.65,3.45
Alabama,Lawrence,72.75,72.06,73.35,73,72.44,73.57,73.15,72.61,73.69,73.18,72.68,73.74,73.77,73.27,74.25,73.97,73.44,74.48,74.55,74.02,75.12,74.33,73.75,74.92,2.18,0.94,3.52
Alabama,Lee,72.78,72.24,73.33,73.72,73.22,74.2,74.33,73.87,74.79,74.53,74.12,74.98,75.41,75.01,75.83,75.95,75.55,76.36,77.17,76.77,77.57,76.52,76.1,76.96,5.13,4.08,6.14
Alabama,Limestone,73.12,72.55,73.66,73.94,73.39,74.43,74.5,74,74.95,74.72,74.28,75.15,75.69,75.27,76.1,76.06,75.65,76.47,77.15,76.7,77.58,77.21,76.73,77.65,5.61,4.6,6.73
