,Location,County,Mortality Risk %,Sex,Year
0,United States,All counties,63.89,Cpmbined,1980
1,Alabama,All counties,65.00,Cpmbined,1980
2,Alabama,Autauga,66.76,Cpmbined,1980
3,Alabama,Baldwin,61.16,Cpmbined,1980
4,Alabama,Barbour,65.71,Cpmbined,1980
5,Alabama,Bibb,66.96,Cpmbined,1980
6,Alabama,Blount,63.06,Cpmbined,1980
7,Alabama,Bullock,67.49,Cpmbined,1980
8,Alabama,Butler,62.60,Cpmbined,1980
9,Alabama,Calhoun,65.85,Cpmbined,1980
10,Alabama,Chambers,64.60,Cpmbined,1980
11,Alabama,Cherokee,65.09,Cpmbined,1980
12,Alabama,Chilton,64.79,Cpmbined,1980
13,Alabama,Choctaw,63.29,Cpmbined,1980
14,Alabama,Clarke,66.00,Cpmbined,1980
15,Alabama,Clay,62.70,Cpmbined,1980
16,Alabama,Cleburne,65.22,Cpmbined,1980
17,Alabama,Coffee,61.29,Cpmbined,1980
18,Alabama,Colbert,62.32,Cpmbined,1980
19,Alabama,Conecuh,61.29,Cpmbined,1980
20,Alabama,Coosa,63.58,Cpmbined,1980
21,Alabama,Covington,63.63,Cpmbined,1980
22,Alabama,Crenshaw,64.82,Cpmbined,1980
23,Alabama,Cullman,62.53,Cpmbined,1980
24,Alabama,Dale,61.56,Cpmbined,1980
25,Alabama,Dallas,65.74,Cpmbined,1980
26,Alabama,DeKalb,63.54,Cpmbined,1980
27,Alabama,Elmore,65.88,Cpmbined,1980
28,Alabama,Escambia,65.64,Cpmbined,1980
29,Alabama,Etowah,65.19,Cpmbined,1980
30,Alabama,Fayette,61.10,Cpmbined,1980
31,Alabama,Franklin,64.55,Cpmbined,1980
32,Alabama,Geneva,64.51,Cpmbined,1980
33,Alabama,Greene,64.70,Cpmbined,1980
34,Alabama,Hale,65.22,Cpmbined,1980
35,Alabama,Henry,65.29,Cpmbined,1980
36,Alabama,Houston,63.63,Cpmbined,1980
37,Alabama,Jackson,67.43,Cpmbined,1980
38,Alabama,Jefferson,65.98,Cpmbined,1980
39,Alabama,Lamar,63.96,Cpmbined,1980
40,Alabama,Lauderdale,60.25,Cpmbined,1980
41,Alabama,Lawrence,65.55,Cpmbined,1980
42,Alabama,Lee,66.60,Cpmbined,1980
43,Alabama,Limestone,66.26,Cpmbined,1980
44,Alabama,Lowndes,63.70,Cpmbined,1980
45,Alabama,Macon,63.03,Cpmbined,1980
46,Alabama,Madison,65.66,Cpmbined,1980
47,Alabama,Marengo,66.34,Cpmbined,1980
48,Alabama,Marion,60.27,Cpmbined,1980
49,Alabama,Marshall,64.69,Cpmbined,1980
50,Alabama,Mobile,66.18,Cpmbined,1980
51,Alabama,Monroe,63.14,Cpmbined,1980
52,Alabama,Montgomery,66.52,Cpmbined,1980
53,Alabama,Morgan,64.35,Cpmbined,1980
54,Alabama,Perry,60.35,Cpmbined,1980
55,Alabama,Pickens,63.46,Cpmbined,1980
56,Alabama,Pike,63.10,Cpmbined,1980
57,Alabama,Randolph,63.59,Cpmbined,1980
58,Alabama,Russell,73.39,Cpmbined,1980
59,Alabama,Saint Clair,64.99,Cpmbined,1980
60,Alabama,Shelby,68.54,Cpmbined,1980
61,Alabama,Sumter,64.73,Cpmbined,1980
62,Alabama,Talladega,67.01,Cpmbined,1980
63,Alabama,Tallapoosa,65.76,Cpmbined,1980
64,Alabama,Tuscaloosa,63.14,Cpmbined,1980
65,Alabama,Walker,64.41,Cpmbined,1980
66,Alabama,Washington,64.83,Cpmbined,1980
67,Alabama,Wilcox,63.21,Cpmbined,1980
68,Alabama,Winston,65.83,Cpmbined,1980
69,Alaska,All counties,67.31,Cpmbined,1980
70,Alaska,Aleutians East Borough,72.61,Cpmbined,1980
71,Alaska,Aleutians West Census Area,72.61,Cpmbined,1980
72,Alaska,Anchorage Municipality,64.19,Cpmbined,1980
73,Alaska,Bethel Census Area,69.14,Cpmbined,1980
74,Alaska,Bristol Bay Borough,66.22,Cpmbined,1980
75,Alaska,Denali Borough,70.51,Cpmbined,1980
76,Alaska,Dillingham Census Area,74.96,Cpmbined,1980
77,Alaska,Fairbanks North Star Borough,68.23,Cpmbined,1980
78,Alaska,Haines Borough,58.36,Cpmbined,1980
79,Alaska,Hoonah-Angoon Census Area,67.95,Cpmbined,1980
80,Alaska,Juneau City and Borough,61.67,Cpmbined,1980
81,Alaska,Kenai Peninsula Borough,65.68,Cpmbined,1980
82,Alaska,Ketchikan Gateway Borough,69.02,Cpmbined,1980
83,Alaska,Kodiak Island Borough,69.89,Cpmbined,1980
84,Alaska,Kusilvak Census Area,74.50,Cpmbined,1980
85,Alaska,Lake and Peninsula Borough,74.96,Cpmbined,1980
86,Alaska,Matanuska-Susitna Borough,64.60,Cpmbined,1980
87,Alaska,Nome Census Area,73.96,Cpmbined,1980
88,Alaska,North Slope Borough,82.91,Cpmbined,1980
89,Alaska,Northwest Arctic Borough,73.26,Cpmbined,1980
90,Alaska,Petersburg Borough,69.02,Cpmbined,1980
91,Alaska,Prince of Wales-Hyder Census Area,69.02,Cpmbined,1980
92,Alaska,Sitka City and Borough,70.22,Cpmbined,1980
93,Alaska,Skagway Municipality,67.95,Cpmbined,1980
94,Alaska,Southeast Fairbanks Census Area,66.22,Cpmbined,1980
95,Alaska,Valdez-Cordova Census Area,69.27,Cpmbined,1980
96,Alaska,Wrangell City and Borough,69.02,Cpmbined,1980
97,Alaska,Yakutat City and Borough,67.95,Cpmbined,1980
98,Alaska,Yukon-Koyukuk Census Area,70.51,Cpmbined,1980
99,Arizona,All counties,60.20,Cpmbined,1980
100,Arizona,Apache,59.72,Cpmbined,1980
101,Arizona,Cochise,61.03,Cpmbined,1980
102,Arizona,Coconino,57.58,Cpmbined,1980
103,Arizona,Gila,60.62,Cpmbined,1980
104,Arizona,Graham,62.80,Cpmbined,1980
105,Arizona,Greenlee,63.95,Cpmbined,1980
106,Arizona,La Paz,57.11,Cpmbined,1980
107,Arizona,Maricopa,60.20,Cpmbined,1980
108,Arizona,Mohave,61.80,Cpmbined,1980
109,Arizona,Navajo,60.71,Cpmbined,1980
110,Arizona,Pima,60.00,Cpmbined,1980
111,Arizona,Pinal,62.74,Cpmbined,1980
112,Arizona,Santa Cruz,58.87,Cpmbined,1980
113,Arizona,Yavapai,59.67,Cpmbined,1980
114,Arizona,Yuma,57.11,Cpmbined,1980
115,Arkansas,All counties,63.52,Cpmbined,1980
116,Arkansas,Arkansas,66.16,Cpmbined,1980
117,Arkansas,Ashley,64.03,Cpmbined,1980
118,Arkansas,Baxter,59.13,Cpmbined,1980
119,Arkansas,Benton,60.08,Cpmbined,1980
120,Arkansas,Boone,60.00,Cpmbined,1980
121,Arkansas,Bradley,65.94,Cpmbined,1980
122,Arkansas,Calhoun,63.80,Cpmbined,1980
123,Arkansas,Carroll,59.26,Cpmbined,1980
124,Arkansas,Chicot,64.58,Cpmbined,1980
125,Arkansas,Clark,62.55,Cpmbined,1980
126,Arkansas,Clay,64.16,Cpmbined,1980
127,Arkansas,Cleburne,60.42,Cpmbined,1980
128,Arkansas,Cleveland,62.88,Cpmbined,1980
129,Arkansas,Columbia,61.46,Cpmbined,1980
130,Arkansas,Conway,62.62,Cpmbined,1980
131,Arkansas,Craighead,65.58,Cpmbined,1980
132,Arkansas,Crawford,65.36,Cpmbined,1980
133,Arkansas,Crittenden,69.26,Cpmbined,1980
134,Arkansas,Cross,65.80,Cpmbined,1980
135,Arkansas,Dallas,65.28,Cpmbined,1980
136,Arkansas,Desha,65.10,Cpmbined,1980
137,Arkansas,Drew,61.95,Cpmbined,1980
138,Arkansas,Faulkner,62.33,Cpmbined,1980
139,Arkansas,Franklin,61.89,Cpmbined,1980
140,Arkansas,Fulton,60.02,Cpmbined,1980
141,Arkansas,Garland,60.57,Cpmbined,1980
142,Arkansas,Grant,65.56,Cpmbined,1980
143,Arkansas,Greene,62.74,Cpmbined,1980
144,Arkansas,Hempstead,62.45,Cpmbined,1980
145,Arkansas,Hot Spring,62.03,Cpmbined,1980
146,Arkansas,Howard,62.48,Cpmbined,1980
147,Arkansas,Independence,62.72,Cpmbined,1980
148,Arkansas,Izard,59.63,Cpmbined,1980
149,Arkansas,Jackson,64.43,Cpmbined,1980
150,Arkansas,Jefferson,65.12,Cpmbined,1980
151,Arkansas,Johnson,61.98,Cpmbined,1980
152,Arkansas,Lafayette,63.28,Cpmbined,1980
153,Arkansas,Lawrence,63.08,Cpmbined,1980
154,Arkansas,Lee,66.63,Cpmbined,1980
155,Arkansas,Lincoln,62.89,Cpmbined,1980
156,Arkansas,Little River,63.12,Cpmbined,1980
157,Arkansas,Logan,63.00,Cpmbined,1980
158,Arkansas,Lonoke,64.70,Cpmbined,1980
159,Arkansas,Madison,63.07,Cpmbined,1980
160,Arkansas,Marion,56.41,Cpmbined,1980
161,Arkansas,Miller,64.18,Cpmbined,1980
162,Arkansas,Mississippi,68.68,Cpmbined,1980
163,Arkansas,Monroe,67.75,Cpmbined,1980
164,Arkansas,Montgomery,61.52,Cpmbined,1980
165,Arkansas,Nevada,63.55,Cpmbined,1980
166,Arkansas,Newton,58.51,Cpmbined,1980
167,Arkansas,Ouachita,64.63,Cpmbined,1980
168,Arkansas,Perry,67.32,Cpmbined,1980
